ID,Тип,марка,вид,Страна,форма,Оборот,Иерархия1,Иерархия2,Иерархия3,Иерархия4,Иерархия5,,,,
210,Заведение,Спорт Бар,-,Россия,Квадрат,Нет,-,,,,,,,,
211,Виски,William Lawsons,-,Шотландия,Квадрат,Нет,-,,,,,,,,
212,Чай,-,-,Франция,Квадрат,Нет,-,,,,,,,,
213,Чай,-,-,Франция,Квадрат,Нет,-,,,,,,,,
214,Чай,-,-,Франция,Квадрат,Нет,-,,,,,,,,
215,Чай,-,-,Франция,Квадрат,Нет,-,,,,,,,,
216,Чай,-,-,Франция,Квадрат,Нет,-,,,,,,,,
217,Чай,-,-,Франция,Квадрат,Нет,-,,,,,,,,
218,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
219,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
220,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
221,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
222,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
223,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
224,Пиво,Carlsberg,Lager,Дания,Квадрат,Да,Lager,,,,,,,,
225,Пиво,Krušovice,Много,Чехия,Квадрат,Да,-,,,,,,,,
226,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
227,Пиво,Балтика 7,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
228,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
229,Пиво,Budweiser Budvar,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
230,Пиво,Невское,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
231,Пиво,Невское,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
232,Заведение,Funk haus,Ресторан,Германия,Квадрат,Да,-,,,,,,,,
233,Пиво,Holsten ,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
234,Пиво,Carlsberg,Lager,Дания,Квадрат,Да,Lager,,,,,,,,
235,Пиво,Zlatý Bažant,Pilsner,Словакия,Квадрат,Да,Lager,Pilsner,,,,,,,
236,Заведение,Балтика,Пивоварня,Россия,Ромб,Да,-,,,,,,,,
237,Пиво,Edelweiss,Weissbier,Австрия,Квадрат,Да,Ale,German Ale,Weissbier,,,,,,
238,Пиво,Guinness,Stout,Ирландия,Квадрат,Да,Ale,Stout,,,,,,,
239,Пиво,Lapin Kulta,Lager,Финляндия,Квадрат,Да,Lager,,,,,,,,
240,Пиво,Löwenbräu,Lager,Германия,Квадрат,Да,Lager,,,,,,,,
241,Пиво,Löwenbräu,Lager,Германия,Квадрат,Да,Lager,,,,,,,,
242,Пиво,Mönchshof,Lager,Германия,Квадрат,Да,Lager,,,,,,,,
243,Пиво,Bitburger,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
244,Пиво,Guinness,Stout,Ирландия,Квадрат,Да,Ale,Stout,,,,,,,
245,Пиво,Karjala,Lager,Финляндия,Квадрат,Да,Lager,,,,,,,,
246,Бурбон,Jim Beam,-,США,Квадрат,Да,-,,,,,,,,
247,Пиво,Primátor Světlý,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
248,Пиво,Krombacher,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
249,Пиво,Harp Premium Lager,Lager,Ирландия,Квадрат,Да,Lager,,,,,,,,
250,Пиво,Foster's,Lager,Австралия,Квадрат,Да,Lager,,,,,,,,
251,Пиво,Krombacher,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
252,Пиво,Василеостровское,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
253,Пиво,Clausthaler,Non-Alcoholic,Германия,Квадрат,Да,-,,,,,,,,
254,Пиво,Василеостровское,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
255,Пиво,Bourgogne Des Flandres Brune/Bruin,Flanders Oud Bruin,Бельгия,Квадрат,Да,Ale,German Ale,Sour,Flanders Brown Ale/Oud Bruin,,,,,
256,Пиво,Smithwick's,Red Ale,Ирландия,Квадрат,Да,Ale,Irish Ale,Red Ale,,,,,,
257,Пиво,Leffe,Много,Бельгия,Квадрат,Нет,-,,,,,,,,
258,Заведение,Airbräu,Пивоварня,Германия,Квадрат,Да,-,,,,,,,,
259,Пиво,Wells Bombardier ,English Bitter,Англия,Квадрат,Да,Ale,Pale Ale,English Pale Ale/Bitter,,,,,,
260,Пиво,Pilsner Urquell,Pilsner,Чехия,Квадрат,Да,Lager,Pilsner,,,,,,,
261,Пиво,Krombacher,Pilsner,Германия,Квадрат,Да,Lager,Pilsner,,,,,,,
262,Пиво,Carling,Lager,Англия,Квадрат,Да,Lager,,,,,,,,
263,Пиво,Gaffel Kölsch,Kölsch,Германия,Квадрат,Да,Lager,Kolsch,,,,,,,
264,Заведение,Rock Bottom,Пивоварня,США,Квадрат,Да,-,,,,,,,,
265,Заведение,Rock Bottom,Пивоварня,США,Квадрат,Да,-,,,,,,,,
266,Сидр,Stassen Cider,Cider,Бельгия,Ромб,Да,-,,,,,,,,
267,Заведение,Belhaven Brewery,Пивоварня,Шотландия,Квадрат,Да,-,,,,,,,,
268,Заведение,Volfas Engelman,Пивоварня,Литва,Квадрат,Да,-,,,,,,,,
